当日链接,比赛详情链接,日期,联赛名,主队,客队,初盘亚盘,终盘亚盘,终盘亚盘水位,初盘大球盘口,终盘大球盘口,终盘大球水位,中场大小盘,中场大球水位,上半场进球数,最终进球数,75分钟后进球数,80分钟后进球数
http://bf.win007.com/football/Over_20200710.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1732080	,2020.07.11	,奥乙	,FAC维也纳	,BW林茨	,平手	,平手	,0.84/1.04	,2.5/3	,3	,0.91/0.95	,2.5/3	,1.08/0.78	,1	,3	,1	,0	
http://bf.win007.com/football/Over_20200710.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1732081	,2020.07.11	,奥乙	,拉夫尼茨	,阿姆斯特顿	,平手/半球	,平手/半球	,0.95/0.93	,2.5/3	,3	,0.93/0.93	,2.5/3	,0.86/1.00	,1	,2	,1	,1	
http://bf.win007.com/football/Over_20200708.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872336	,2020.07.08	,日职联	,名古屋鲸八	,大阪钢巴	,平手/半球	,平手/半球	,1.08/0.82	,2.5/3	,3	,0.90/0.98	,4.5	,0.88/0.99	,3	,4	,1	,1	
http://bf.win007.com/football/Over_20200708.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870162	,2020.07.09	,丹麦超	,利恩比	,桑德捷斯基	,受让平手/半球	,受让半球	,1.09/0.81	,2.5/3	,3	,0.88/1.00	,2.5/3	,0.97/0.90	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200708.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1755901	,2020.07.09	,土超	,阿兰亚斯堡	,加拉塔萨雷	,平手	,平手/半球	,1.11/0.80	,2.5	,2.5/3	,0.89/0.97	,4.5	,0.82/1.04	,3	,4	,1	,1	
http://bf.win007.com/football/Over_20200706.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870326	,2020.07.06	,挪甲	,艾伊加登	,阿萨纳	,平手	,平手	,0.92/0.96	,2.5/3	,3	,0.97/0.89	,1.5/2	,0.94/0.92	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200706.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870332	,2020.07.06	,挪甲	,谢夫	,桑德尼斯	,平手	,平手	,0.99/0.89	,2.5/3	,3	,1.00/0.86	,2.5	,0.98/0.88	,1	,4	,0	,0	
http://bf.win007.com/football/Over_20200706.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1852201	,2020.07.07	,罗甲	,沃伦塔利	,维托鲁康斯坦萨	,平手	,受让平手/半球	,0.95/0.93	,2.5	,2.5/3	,0.97/0.89	,1.5	,1.07/0.79	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200706.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1740856	,2020.07.07	,西甲	,莱万特	,皇家社会	,受让平手/半球	,受让半球	,0.90/1.00	,2.5	,2.5/3	,0.86/1.04	,3.5	,0.98/0.90	,2	,2	,0	,0	
http://bf.win007.com/football/Over_20200705.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1850071	,2020.07.05	,越南联	,体工	,河内	,受让平手/半球	,受让平手/半球	,0.96/0.80	,2.5/3	,3	,1.01/0.75	,3/3.5	,0.74/1.06	,2	,2	,0	,0	
http://bf.win007.com/football/Over_20200705.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1721300	,2020.07.06	,俄超	,克拉斯诺达尔	,圣彼得堡泽尼特	,受让平手/半球	,受让平手/半球	,1.08/0.82	,2.5	,2.5/3	,0.97/0.90	,4.5	,0.96/0.90	,3	,6	,0	,0	
http://bf.win007.com/football/Over_20200705.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1755894	,2020.07.06	,土超	,加拉塔萨雷	,特拉布宗体育	,平手/半球	,平手	,0.87/1.03	,2.5/3	,3	,0.99/0.87	,2.5/3	,1.02/0.84	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200704.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1874574	,2020.07.04	,瑞典甲	,达尔科德	,迪格弗斯	,平手	,平手	,1.02/0.88	,2.5	,2.5/3	,0.95/0.91	,2.5	,0.91/0.95	,1	,3	,0	,0	
http://bf.win007.com/football/Over_20200704.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870181	,2020.07.04	,芬甲	,EIF埃克纳斯	,VPS瓦萨	,平手	,平手	,0.88/1.02	,2.5	,2.5/3	,0.95/0.92	,1/1.5	,0.96/0.90	,0	,0	,0	,0	
http://bf.win007.com/football/Over_20200704.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872169	,2020.07.04	,波兰超	,琴斯托霍瓦	,卢宾扎格勒比	,平手/半球	,平手/半球	,0.88/1.02	,2.5/3	,3	,0.86/1.00	,3.5	,0.80/1.06	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200704.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1872199	,2020.07.04	,挪超	,斯达	,维京	,受让平手/半球	,平手	,0.94/0.95	,2.5/3	,3	,0.92/0.96	,1.5	,0.85/1.02	,0	,2	,1	,1	
http://bf.win007.com/football/Over_20200703.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870670	,2020.07.03	,芬乙	,TPV谭柏利	,卡亚普	,平手	,受让平手/半球	,0.83/0.99	,2.5/3	,3	,0.82/0.98	,4	,0	,0	
http://bf.win007.com/football/Over_20200703.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1726632	,2020.07.03	,波兰甲	,霍吉尼赞卡	,桑德克亚	,平手	,平手	,1.03/0.79	,2.5	,2.5/3	,0.83/0.97	,2.5/3	,1.05/0.81	,1	,3	,1	,0	
http://bf.win007.com/football/Over_20200703.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1733185	,2020.07.04	,瑞士甲	,瓦杜兹	,草蜢	,平手	,受让平手/半球	,1.01/0.87	,2.5/3	,3	,0.90/0.96	,3.5/4	,0.78/1.08	,2	,5	,2	,2	
http://bf.win007.com/football/Over_20200703.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1738607	,2020.07.04	,丹麦甲	,纳斯特维德	,科灵	,平手/半球	,平手/半球	,0.94/0.94	,2.5	,2.5/3	,0.92/0.94	,1.5	,0.95/0.91	,0	,1	,0	,0	
http://bf.win007.com/football/Over_20200703.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1870171	,2020.07.04	,丹麦超	,埃斯比约	,霍森斯	,受让平手/半球	,平手	,0.82/1.08	,2.5	,2.5/3	,0.88/1.00	,3.5	,1.04/0.83	,2	,3	,0	,0	
http://bf.win007.com/football/Over_20200701.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1763691	,2020.07.02	,意甲	,博洛尼亚	,卡利亚里	,平手/半球	,半球	,1.07/0.84	,2.5	,2.5/3	,1.05/0.85	,2.5	,0.93/0.95	,1	,2	,0	,0	
http://bf.win007.com/football/Over_20200701.htm	,http://vip.win007.com/AsianOdds_n.aspx?id=1727135	,2020.07.02	,瑞士超	,图恩	,苏黎世	,平手	,平手	,0.95/0.94	,2.5/3	,3	,0.98/0.89	,6.5/7	,0.95/0.91	,5	,5	,0	,0	
